morphology_code,preferred_term,search_terms
8077/2,"Squamous intraepithelial neoplasia, grade III [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]","Squamous intraepithelial neoplasia, grade III [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; AIN III (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Anal intraepithelial neoplasia, grade III (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Cervical intraepithelial neoplasia, grade III (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; CIN III with severe dysplasia (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; CIN III, NOS (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Dysplasia, CIN III with severe (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Dysplasia, squamous, high grade [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Dysplasia, squamous, moderate (C34._) [2023+. SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Dysplasia, squamous, severe (C34._) [2023+. SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Grade III anal intraepithelial neoplasia (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Grade III cervical intraepithelial neoplasia (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Grade III squamous intraepithelial neoplasia [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Grade III vaginal intraepithelial neoplasia (C52._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Grade III vulvar intraepithelial neoplasia (C51._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; High grade squamous dysplasia [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; High grade squamous intraepithelial lesion [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Intraepithelial neoplasia, grade II, squamous [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Intraepithelial neoplasia, grade III, anal (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Intraepithelial neoplasia, grade III, cervical (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Intraepithelial neoplasia, grade III, squamous [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Intraepithelial neoplasia, grade III, vaginal (C52._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Intraepithelial neoplasia, grade III, vulvar (C51._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Moderate squamous dysplasia (C34._) [2023+. SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Neoplasia, anal intraepithelial, grade III (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Neoplasia, cervical intraepithelial, grade III (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Neoplasia, squamous intraepithelial, grade II [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Neoplasia, squamous intraepithelial, grade III [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Neoplasia, vaginal intraepithelial, grade III (C52._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Neoplasia, vulvar intraepithelial, grade III (C51._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Severe dysplasia, CIN III with (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Severe squamous dysplasia (C34._) [2023+. SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Squamous dysplasia, high grade [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Squamous dysplasia, moderate (C34._) [2023+. SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Squamous dysplasia, severe (C34._) [2023+. SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Squamous intraepithelial lesion, high grade [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Squamous intraepithelial neoplasia, grade II [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Vaginal intraepithelial neoplasia, grade III (C52._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; VAIN III (C52._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; VIN III (C51._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]; Vulvar intraepithelial neoplasia, grade III (C51._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8078/3,Squamous cell carcinoma with horn formation,"Squamous cell carcinoma with horn formation; Carcinoma, squamous cell, with horn formation; Horn formation, squamous cell carcinoma with; Squamous cell carcinoma, with horn formation"
8080/2,Queyrat erythroplasia (C60._),"Queyrat erythroplasia (C60._); Erythroplasia, Queyrat (C60._)"
8081/2,Bowen disease (C44._),"Bowen disease (C44._); Bowen type intraepidermal squamous cell carcinoma (C44._); Carcinoma, Bowen type, intraepidermal squamous cell (C44._); Carcinoma, intraepidermal, squamous cell, Bowen type (C44._); Carcinoma, squamous cell, intradermal, Bowen type (C44._); Disease, Bowen (C44._); Intraepidermal squamous cell carcinoma, Bowen type (C44._); Squamous cell carcinoma, Bowen type, intraepidermal (C44._); Squamous cell carcinoma, intraepidermal, Bowen type (C44._)"
8082/3,Lymphoepithelial carcinoma,"Lymphoepithelial carcinoma; Carcinoma, lymphoepithelial; Carcinoma, lymphoepithelioma-like; Lymphoepithelioma; Lymphoepithelioma-like carcinoma; Schmincke tumor (C11._); Sinonasal lymphoepithelial carcinoma [2026+]; Tumor, Schmincke (C11._); Sinonasal lymphoepithelial carcinoma"
8083/3,Basaloid squamous cell carcinoma,"Basaloid squamous cell carcinoma; Carcinoma, basaloid squamous cell; Carcinoma, papillary-basaloid [2021+]; Carcinoma, squamous cell, basaloid; Papillary-basaloid carcinoma [2021+]; Squamous cell carcinoma, basaloid"
8084/3,"Squamous cell carcinoma, clear cell type","Squamous cell carcinoma, clear cell type; Carcinoma, squamous cell, clear cell type; Clear cell type squamous cell carcinoma"
8085/0,"HPV-associated oral epithelial dysplasia, low grade [2026+]","HPV-associated oral epithelial dysplasia, low grade [2026+]; HPV-associated oral epithelial dysplasia, low grade"
8085/2,"HPV-associated oral epithelial dysplasia, high grade (C02._, C03._, C04._, C05._, C06._) [2026+]","HPV-associated oral epithelial dysplasia, high grade (C02._, C03._, C04._, C05._, C06._) [2026+]; HPV-associated oral epithelial dysplasia, high grade"
8085/3,"Squamous cell carcinoma, HPV-positive (C01.9, C09.9, C10.2, C10.3, C10.8, C10.9, C31.0–C31.3, C31.9) [2018+]","Squamous cell carcinoma, HPV-positive (C01.9, C09.9, C10.2, C10.3, C10.8, C10.9, C31.0–C31.3, C31.9) [2018+]; Carcinoma, squamous cell, HPV-associated (C53._) [2021+] (C60._, C63.2) [2024+] (C30.0, C31.9) [2026+]; Carcinoma, squamous cell, HPV-positive (C01.9, C09.9, C10.2, C10.3, C10.8, C10.9, C31.0–C31.3, C31.9) [2018+]; HPV-associated squamous cell carcinoma (C53._) [2021+] (C60._, C63.2) [2024+] (C30.0, C31.9) [2026+]; HPV-positive squamous cell carcinoma (C01.9, C09.9, C10.2, C10.3, C10.8, C10.9, C31.0–C31.3, C31.9) [2018+]; Squamous cell carcinoma, HPV-associated (C53._) [2021+]; (C60._, C63.2) [2024+] (C30.0, C31.9) [2026+]; HPV-associated squamous cell carcinoma"
